Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BKNG,BLK,BMY,BRK-B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DOW,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM,^OEX
2023-01-03,123.76846313476562,150.57077026367188,105.32890319824219,261.8243713378906,336.9200134277344,60.45276641845703,64.0199966430664,245.46804809570312,202.5775146484375,85.81999969482422,53.54018020629883,143.26043701171875,195.38999938964844,31.86794662475586,2017.6884765625,679.2918090820312,66.4150390625,309.9100036621094,42.18818283081055,230.392578125,341.5799865722656,75.4716796875,33.807640075683594,89.38961791992188,106.13370513916016,437.3164367675781,134.18431091308594,45.04787826538086,86.38971710205078,160.49777221679688,414.0104675292969,230.73822021484375,88.27373504638672,45.89493179321289,95.42788696289062,92.12033081054688,9.8787202835083,170.9667510986328,238.0647430419922,52.524139404296875,79.65039825439453,33.191890716552734,89.4802474975586,88.89987182617188,327.6471252441406,300.0088806152344,205.2865447998047,130.14768981933594,25.775146484375,386.03961181640625,167.63490295410156,128.1487579345703,37.219696044921875,59.216156005859375,310.22283935546875,359.08148193359375,453.0630798339844,191.3228302001953,342.7143859863281,252.36244201660156,63.55088424682617,73.83557891845703,67.65320587158203,124.36553955078125,93.32706451416016,39.16201400756836,106.08475494384766,79.62262725830078,235.7117156982422,79.22111511230469,294.95001220703125,115.25753784179688,14.305580139160156,81.47088623046875,170.4306640625,46.21043014526367,144.2268829345703,92.37757873535156,74.58000183105469,102.9228286743164,95.9776611328125,96.24755859375,79.40062713623047,66.62076568603516,106.24949645996094,16.536348342895508,142.74038696289062,550.6155395507812,136.423095703125,108.0999984741211,153.86068725585938,505.0006408691406,199.2318115234375,160.81948852539062,40.830989837646484,204.19529724121094,35.039955139160156,39.47834396362305,46.69233703613281,99.59620666503906,1701.9300537109375
2023-01-04,125.04503631591797,151.7854766845703,106.89566802978516,260.9330749511719,341.4100036621094,61.346153259277344,64.66000366210938,248.03860473632812,206.6636199951172,85.13999938964844,54.1941032409668,146.59072875976562,203.63999938964844,32.46707534790039,2095.359619140625,688.6984252929688,66.74591827392578,314.54998779296875,43.27560806274414,232.78448486328125,354.0,75.95811462402344,34.777103424072266,92.11062622070312,106.34011840820312,440.48095703125,138.97303771972656,45.03840637207031,85.52497863769531,158.79124450683594,413.2200622558594,234.34527587890625,91.26017761230469,47.054893493652344,96.44933319091797,91.45897674560547,10.157829284667969,174.9981231689453,234.8280029296875,55.581268310546875,79.75301361083984,34.04573059082031,88.49268341064453,87.86243438720703,329.0477600097656,303.63665771484375,201.20571899414062,131.1131134033203,26.691211700439453,386.4245300292969,169.45997619628906,129.34375,37.639530181884766,59.18793487548828,308.6831970214844,357.2220458984375,452.0858459472656,193.5817413330078,350.9659729003906,252.4197998046875,64.01132202148438,76.39237976074219,68.62837219238281,126.98765563964844,95.36932373046875,39.06737518310547,106.98199462890625,80.48645782470703,225.40090942382812,79.84483337402344,309.4100036621094,117.64517974853516,14.73929500579834,82.2104721069336,170.01266479492188,45.191749572753906,144.8548583984375,92.31373596191406,77.69000244140625,107.08007049560547,96.0062255859375,99.71258544921875,80.76692199707031,67.18597412109375,109.52176666259766,16.889314651489258,143.67173767089844,559.3150634765625,137.32579040527344,113.63999938964844,159.47926330566406,491.23248291015625,200.82504272460938,162.49850463867188,42.102386474609375,209.33485412597656,35.92207336425781,40.290775299072266,46.744346618652344,99.88609313964844,1710.27001953125
2023-01-05,123.71897888183594,151.6000213623047,106.5015640258789,254.77159118652344,328.44000244140625,61.00992965698242,62.33000183105469,250.3557891845703,200.1806182861328,83.12000274658203,53.68915557861328,143.082763671875,204.99000549316406,32.400508880615234,2129.61279296875,668.9885864257812,66.62548065185547,312.8999938964844,43.08208465576172,231.7428741455078,361.42999267578125,74.90895080566406,35.14778137207031,90.3607177734375,109.55828094482422,434.33526611328125,135.73741149902344,44.4037971496582,84.10233306884766,161.65087890625,404.68206787109375,224.5446014404297,91.20063781738281,47.5764274597168,95.02298736572266,91.06599426269531,10.360817909240723,174.8341522216797,234.25341796875,56.444278717041016,80.07948303222656,34.3499755859375,86.55742645263672,85.9870834350586,325.3191223144531,299.5910339355469,195.86997985839844,129.74313354492188,26.575496673583984,370.6840515136719,168.20875549316406,129.3151092529297,37.721683502197266,58.51063919067383,297.6911315917969,353.1097412109375,452.62664794921875,192.98577880859375,347.6258544921875,250.29071044921875,63.493324279785156,75.50552368164062,68.07515716552734,126.55894470214844,93.7004623413086,39.032962799072266,108.4710464477539,79.80839538574219,218.72055053710938,78.08708190917969,309.70001220703125,117.07254791259766,14.255614280700684,82.0450439453125,168.2362518310547,44.768043518066406,143.0564727783203,91.93984985351562,76.2699966430664,105.0350570678711,96.04430389404297,99.68394470214844,80.53434753417969,65.21236419677734,106.14100646972656,16.951080322265625,145.12051391601562,554.3580932617188,141.76071166992188,110.33999633789062,157.36758422851562,477.0748291015625,194.91278076171875,159.49826049804688,41.773101806640625,207.8579864501953,36.41989517211914,40.07349395751953,46.58503723144531,102.12096405029297,1690.6500244140625
2023-01-06,128.27110290527344,154.43748474121094,107.97222137451172,260.80718994140625,332.75,62.008995056152344,63.959999084472656,258.1800537109375,206.19178771972656,86.08000183105469,56.92103576660156,146.73728942871094,213.0,32.723838806152344,2163.677734375,704.0579223632812,67.6259765625,318.69000244140625,43.598148345947266,240.01800537109375,367.7300109863281,76.28240203857422,36.0126953125,93.33171844482422,110.92811584472656,465.8643493652344,139.88897705078125,45.767738342285156,85.171630859375,162.86849975585938,416.13763427734375,222.13401794433594,93.18498992919922,49.47372817993164,96.78984069824219,93.88394165039062,10.639924049377441,179.16448974609375,237.72958374023438,56.958919525146484,82.15959167480469,35.243072509765625,87.94403076171875,87.12425994873047,329.4073486328125,301.5473327636719,201.42605590820312,132.12449645996094,27.703702926635742,381.44085693359375,169.5728759765625,131.78961181640625,38.871673583984375,59.63946533203125,308.0887145996094,357.06463623046875,448.99285888671875,193.17799377441406,363.9282531738281,257.269775390625,65.2487564086914,76.28858947753906,68.99407958984375,129.62969970703125,96.56573486328125,39.96211242675781,109.61646270751953,81.33173370361328,221.2982177734375,79.05101776123047,315.54998779296875,120.8675537109375,14.849223136901855,83.35877227783203,172.0360870361328,45.90392303466797,146.4630126953125,94.37467193603516,76.4800033569336,110.73805236816406,97.54856872558594,101.84123229980469,81.9200439453125,66.37057495117188,107.45172882080078,17.23345184326172,150.6614990234375,532.5198364257812,145.77374267578125,113.05999755859375,165.12615966796875,477.1138000488281,203.483642578125,164.18670654296875,42.35849380493164,214.39566040039062,36.84784698486328,40.432472229003906,47.726322174072266,103.35527038574219,1727.6500244140625
2023-01-09,128.7956085205078,149.90310668945312,107.79918670654297,265.2054748535156,341.9800109863281,61.35575866699219,67.23999786376953,253.4141845703125,206.94668579101562,87.36000061035156,55.804725646972656,146.96200561523438,208.57000732421875,32.22932052612305,2192.62939453125,718.3585205078125,65.7824935913086,315.5299987792969,43.81010055541992,237.85757446289062,367.17999267578125,75.09017944335938,35.689537048339844,93.69708251953125,110.11184692382812,461.889404296875,146.44985961914062,46.014007568359375,85.0693588256836,161.5955047607422,417.8257141113281,224.38623046875,94.02833557128906,49.70751953125,96.79901885986328,93.22258758544922,10.732959747314453,182.99334716796875,234.8184051513672,57.536903381347656,79.3799057006836,35.25288772583008,88.58245849609375,87.80258178710938,334.06341552734375,301.8132629394531,201.80921936035156,131.98660278320312,28.262981414794922,390.93389892578125,165.1794891357422,131.24502563476562,38.51572036743164,58.89632797241211,313.70172119140625,344.1668701171875,435.4729919433594,191.7073211669922,367.1947021484375,255.15028381347656,64.50054931640625,73.15628814697266,66.89368438720703,129.0813446044922,96.61907196044922,39.557762145996094,105.35932159423828,81.40605163574219,223.45286560058594,79.44792938232422,315.1700134277344,121.17813110351562,15.617717742919922,84.4136962890625,170.3546600341797,43.62314987182617,144.674072265625,93.28949737548828,77.08000183105469,110.03717803955078,94.82566833496094,99.9798583984375,82.782470703125,66.2501220703125,106.9545669555664,17.043682098388672,147.08668518066406,543.5584716796875,145.96998596191406,119.7699966430664,166.55908203125,477.1722106933594,202.9557647705078,166.70066833496094,42.63289260864258,215.23260498046875,36.69969940185547,40.04515075683594,47.13129425048828,101.4289779663086,1726.1800537109375
2023-01-10,129.36953735351562,148.030029296875,109.43324279785156,266.3486328125,338.70001220703125,60.95229721069336,68.05000305175781,256.9416809082031,209.44740295410156,89.87000274658203,55.61512756347656,148.5254669189453,206.69000244140625,32.448055267333984,2205.07958984375,722.4512329101562,66.3753662109375,316.3500061035156,44.409095764160156,241.60939025878906,374.6400146484375,74.6895980834961,36.003196716308594,94.7066421508789,110.78739166259766,464.44610595703125,146.78834533691406,46.23185348510742,84.28832244873047,162.38882446289062,426.8320617675781,234.80274963378906,94.8121566772461,50.77756118774414,97.01988983154297,93.75933837890625,10.859827995300293,182.02886962890625,237.0496368408203,59.59546661376953,81.28276824951172,36.42079162597656,89.02137756347656,88.20159149169922,338.1895446777344,304.4913330078125,202.4510498046875,133.13587951660156,28.38833999633789,384.3481140136719,164.78439331054688,132.4202117919922,38.63437271118164,58.44478988647461,313.808837890625,347.03961181640625,438.60394287109375,193.59132385253906,367.2342834472656,256.735107421875,64.56768035888672,74.42996215820312,67.1093521118164,132.59078979492188,97.64021301269531,39.56636428833008,105.76976013183594,82.59500885009766,225.1549835205078,79.89208221435547,327.5400085449219,122.13900756835938,15.898533821105957,84.49183654785156,168.94873046875,42.92900848388672,144.53135681152344,93.18917846679688,77.91999816894531,112.24540710449219,95.13033294677734,101.18257904052734,82.9665756225586,65.88876342773438,105.6257553100586,17.4285945892334,146.7291717529297,565.3967895507812,146.7451171875,118.8499984741211,168.18052673339844,473.2190246582031,203.74276733398438,164.02154541015625,42.678627014160156,217.68421936035156,37.214229583740234,40.01681137084961,47.10203170776367,102.94383239746094,1737.800048828125
2023-01-11,132.100830078125,145.73965454101562,108.76041412353516,273.42047119140625,342.92999267578125,60.96189880371094,69.05999755859375,256.0316467285156,215.2698516845703,95.08999633789062,55.92564010620117,150.40158081054688,208.02999877929688,32.69532012939453,2208.912353515625,721.1537475585938,66.64402770996094,320.3699951171875,44.888301849365234,241.82154846191406,378.42999267578125,73.56415557861328,36.06972885131836,97.86994934082031,110.93749237060547,467.2536315917969,144.2595672607422,46.61072540283203,83.45147705078125,161.6139678955078,422.97784423828125,240.89077758789062,95.57613372802734,51.775672912597656,97.23153686523438,94.12357330322266,11.18122386932373,185.36587524414062,238.15093994140625,61.51151657104492,81.32941436767578,37.11760330200195,92.03398895263672,91.29393768310547,344.9276123046875,312.4400634765625,203.3706512451172,133.558837890625,28.783693313598633,390.9042053222656,164.52096557617188,133.40426635742188,38.84429931640625,58.33191680908203,321.2051086425781,354.5755920410156,439.27752685546875,200.50253295898438,374.0145263671875,256.6396484375,64.81709289550781,75.77912139892578,67.1093521118164,132.4910888671875,98.39463806152344,39.420108795166016,106.01793670654297,83.06873321533203,231.96322631835938,80.32679748535156,327.260009765625,124.17727661132812,15.990470886230469,86.54307556152344,169.13870239257812,42.77574920654297,143.36094665527344,93.07062530517578,78.54000091552734,113.66635131835938,94.81614685058594,101.4689712524414,80.83474731445312,66.30571746826172,109.70255279541016,17.3748836517334,149.55145263671875,579.8594360351562,145.99942016601562,123.22000122070312,168.6236114501953,480.42437744140625,205.6431427001953,167.1960906982422,43.090232849121094,218.67868041992188,36.531150817871094,40.375789642333984,47.51497268676758,104.14075469970703,1761.4000244140625
2023-01-12,132.0216522216797,142.49142456054688,107.52448272705078,276.1053161621094,344.5400085449219,61.173240661621094,70.80000305175781,254.16476440429688,219.1294708251953,95.2699966430664,56.29322814941406,151.37872314453125,214.32000732421875,32.780906677246094,2240.643798828125,719.283935546875,66.32904052734375,318.92999267578125,45.23849105834961,246.0073699951172,385.4700012207031,73.28755950927734,36.7730598449707,97.12959289550781,112.73892211914062,465.4398193359375,148.93881225585938,46.41181945800781,82.92147064208984,163.34817504882812,425.5245666503906,239.5711212158203,99.02889251708984,52.62091827392578,96.69781494140625,93.97980499267578,11.358838081359863,185.06687927246094,237.20286560058594,62.437870025634766,79.95822143554688,37.61812973022461,91.68484497070312,90.90489959716797,350.0946960449219,313.2662048339844,206.8959197998047,133.8254852294922,29.207977294921875,392.2787170410156,163.693115234375,133.2705078125,38.725643157958984,57.57936477661133,320.5132141113281,353.3064880371094,438.08209228515625,202.1077880859375,375.9446716308594,254.61561584472656,64.04010009765625,75.33567810058594,66.94056701660156,136.29962158203125,98.56990814208984,39.05876922607422,106.68610382080078,84.09046936035156,234.6589813232422,80.3929443359375,330.1300048828125,124.12872314453125,16.500137329101562,86.71891021728516,166.98233032226562,43.010135650634766,142.5521240234375,92.50523376464844,79.77999877929688,116.73867797851562,95.85389709472656,101.0394058227539,80.89290618896484,65.17530059814453,113.88780975341797,17.3748836517334,150.2852020263672,578.8441162109375,147.08851623535156,123.55999755859375,167.926025390625,482.6346740722656,206.05587768554688,167.856689453125,43.529273986816406,220.17526245117188,37.090030670166016,40.4608154296875,47.085777282714844,105.87065887451172,1767.6700439453125
2023-01-13,133.35760498046875,143.78323364257812,109.60044860839844,274.45159912109375,344.3800048828125,61.87450408935547,71.0,254.92465209960938,219.69566345214844,98.12000274658203,56.00883102416992,152.19949340820312,214.1300048828125,33.503665924072266,2284.8955078125,719.3125,67.17205047607422,317.6400146484375,46.00336456298828,249.2769317626953,388.4700012207031,74.2508544921875,37.00116729736328,98.88912200927734,113.968017578125,468.1605224609375,148.8491973876953,46.298160552978516,83.60954284667969,163.7909393310547,428.9787902832031,240.72361755371094,98.62210845947266,52.7647819519043,96.60578155517578,93.85519409179688,10.758332252502441,181.9228057861328,230.10690307617188,63.49882888793945,80.47124481201172,35.831932067871094,92.57266235351562,91.89246368408203,353.9368896484375,314.53875732421875,207.4993896484375,134.13809204101562,29.034404754638672,388.82763671875,163.15682983398438,136.633544921875,38.71651077270508,57.786312103271484,325.5804443359375,355.7660217285156,426.7822570800781,203.9341583251953,371.6983642578125,256.716064453125,64.327880859375,76.03384399414062,67.43754577636719,136.5688018798828,98.69183349609375,39.248046875,107.14425659179688,85.14010620117188,235.36737060546875,80.0243911743164,332.82000732421875,125.06049346923828,16.88787841796875,87.12915802001953,166.46937561035156,43.13634490966797,143.57029724121094,92.7423324584961,79.4800033569336,115.44255065917969,93.94976806640625,102.356689453125,80.40840911865234,65.15676879882812,113.5081558227539,17.500205993652344,154.84788513183594,581.133544921875,146.8628387451172,122.4000015258789,168.75559997558594,476.69512939453125,204.65457153320312,167.12269592285156,43.29145812988281,219.62388610839844,37.1343879699707,41.77392578125,47.24184799194336,105.80520629882812,1776.5699462890625
2023-01-17,134.5253448486328,143.06243896484375,109.48457336425781,277.116943359375,344.3800048828125,61.26930618286133,71.58999633789062,252.75750732421875,218.0348358154297,96.05000305175781,56.03205108642578,150.23544311523438,211.41000366210938,32.82845687866211,2317.341796875,715.2483520507812,66.98678588867188,314.8599853515625,46.362770080566406,247.1551055908203,388.3500061035156,74.61329650878906,37.01067352294922,99.63908386230469,112.8139877319336,469.6269836425781,147.81381225585938,45.54042053222656,83.09814453125,166.49374389648438,427.58349609375,241.86734008789062,99.12811279296875,51.61381149291992,95.90641784667969,87.4524917602539,10.716044425964355,181.4405975341797,230.92088317871094,63.72843551635742,79.66905975341797,35.930076599121094,91.93423461914062,91.06451416015625,331.1486511230469,311.04400634765625,203.3131866455078,133.49449157714844,28.54262351989746,385.8511657714844,162.15023803710938,134.52210998535156,38.63437271118164,58.021484375,321.5754089355469,351.9488525390625,424.2491455078125,201.39649963378906,371.18359375,261.69970703125,64.28950500488281,75.80742645263672,67.1093521118164,134.95367431640625,96.47429656982422,38.852294921875,105.42613220214844,90.17457580566406,236.4692840576172,81.0261001586914,326.2200012207031,124.37137603759766,17.690351486206055,86.54307556152344,167.24832153320312,41.540714263916016,143.15164184570312,92.31373596191406,80.18000030517578,115.48095703125,93.71176147460938,101.89851379394531,80.902587890625,64.9065933227539,113.01097869873047,17.303272247314453,152.49598693847656,585.1348876953125,144.21365356445312,131.49000549316406,165.35238647460938,472.32318115234375,205.69113159179688,164.23257446289062,43.392066955566406,219.56480407714844,36.2384033203125,41.6794548034668,46.95570755004883,105.59947967529297,1773.22998046875
